Stock,Gross Profit,Operating Expenses,Interest Expense,Earnings before Tax,Preferred Dividends,EPS
NLNK,12474000,74912000,52000,-60563000,0,-1.44
SM,1579705000,905200000,160906000,651777000,0,4.54
AEP,5039900000,2357200000,984400000,2039100000,0,3.90
GDEN,337562000,286595000,64028000,-11275000,0,-0.76
EXAS,336480000,495951000,36789000,-175057000,0,-1.43
VIPS,2470183357,2119805210,23117800.29,390071056.4,0,0.47
NSPR,995000,8606000,0,-7240000,456000,-16.50
SLAB,521399000,436191000,19694000,72161000,0,1.94
BKH,595206000,198169000,143720000,234775000,0,4.75
SYRS,2050000,66346000,0,-62279000,0,-1.91
