ID,Name,Neighborhood,Room Type,Bathrooms,Bedrooms,Price
127819,140 m2 Architect flat center Madrid,La Latina,Entire home/apt,1.5,1,75.00 
199201,"Converted theatre, historic centre",Centro,Entire home/apt,1,0,70.00 
92920,Bedroom in Chueca Madrid,San Blas,Entire home/apt,1,2,75.00 
315682,QUIET and SPACIOUS .  Heart of Malasaña.Madrid.,Puente de Vallecas,Private room,1,1,19.00 
120293,ROOM IN THE CENTER -LA LATINA- WIFI,Tetuán,Entire home/apt,1,1,72.00 
282195,Winter Offer 40m2 Wifi. Centre O,Centro,Entire home/apt,1,1,85.00 
196197,Views of San Andres Baroque from a Central Madrid Apartment,Centro,Entire home/apt,1,1,55.00 
337209,DISCOVER MADRID CENTRAL AREA WIFI,Centro,Private room,1.5,1,22.00 
345233,MIRO (Website hidden by Airbnb) of Madrid,Arapiles,Private room,1.5,1,25.00 
287660,Beatiful downtown room with balcony,Chamberí,Entire home/apt,2,2,150.00 
109369,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,Centro,Entire home/apt,1,1,50.00 
283862,"CENTER HISTORICAL, SOL, DUPLEX",Moncloa,Entire home/apt,2,2,75.00 
38513316,Habitación muy amplia y luminosa,Ciudad Lineal,Shared room,1,1,50.00 
261959,"ROOM WITH TV, PHONO,WIFI MADRID",Justicia,Entire home/apt,1,2,140.00 
38723612,Habitación en Madrid a 15 min de puerta de sol.,Fuencarral-el Pardo,Shared room,1,1,20.00 
231861,COMFORTABLE ROOM IN A GREAT AREA!!!,Centro,Entire home/apt,1,2,39.00 
154224,NICE FLAT SANTA ANA.45m2 WIFI (A),Chamberí,Entire home/apt,1,1,70.00 
38485835,Habitación Privada en Piso Compartido,Sol,Shared room,3,1,20.00 
183346,ROOM IN CENTRAL REFURBISH FLAT,Palacio,Entire home/apt,1,2,43.00 
281224,UNIQUE in Opera Royal Palace!!!,Centro,Entire home/apt,1,1,48.00 
171144,Penthouse in PALACIO with 2 ROOMS,Malasaña,Entire home/apt,2,2,185.00 
268275,Madrid center with balconies,Justicia,Entire home/apt,1,0,80.00 
100411,Ático muy luminoso,Ciudad Lineal,Entire home/apt,2,2,125.00 
318826,Wonderful apartment. JUST REMODELED,Centro,Private room,0,1,40.00 
74352,Cozy apartment in the coolest  neighbourhood,Centro,Entire home/apt,1,2,70.00 
205199,Tafari Gran Via,Centro,Entire home/apt,1,1,73.00 
132428,Habitacion en Anton Martin,Centro,Entire home/apt,1,0,61.00 
96072, Room for rent in Madrid,Salamanca,Entire home/apt,1,1,50.00 
38375189,Apartamento moderno en el palacio antiguo,Centro,Shared room,5.5,1,25.00 
201033,Shiny Room in Malasaña II/Center,Centro,Entire home/apt,1,2,75.00 
38650794,Apartamento Premium en Pleno Centro de Madrid,La Latina,Shared room,2,1,453.00 
290420,"BARIO LA LATINA, HABITACIONES",Aluche,Entire home/apt,3.5,3,220.00 
